transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
03/10/2023 12:00:00 AM,subway,314,66 St-Lincoln Center (1),Manhattan,metrocard,Metrocard - Seniors & Disability,5,2,40.773441314697266,-73.98220825195312,POINT (-73.98220825195312 40.773441314697266)
03/10/2023 12:00:00 AM,subway,314,66 St-Lincoln Center (1),Manhattan,metrocard,Metrocard - Other,4,0,40.773441314697266,-73.98220825195312,POINT (-73.98220825195312 40.773441314697266)
03/10/2023 12:00:00 AM,subway,314,66 St-Lincoln Center (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,14,0,40.773441314697266,-73.98220825195312,POINT (-73.98220825195312 40.773441314697266)
03/10/2023 12:00:00 AM,subway,314,66 St-Lincoln Center (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,9,0,40.773441314697266,-73.98220825195312,POINT (-73.98220825195312 40.773441314697266)
03/10/2023 12:00:00 AM,subway,314,66 St-Lincoln Center (1),Manhattan,omny,OMNY - Full Fare,54,1,40.773441314697266,-73.98220825195312,POINT (-73.98220825195312 40.773441314697266)
03/10/2023 12:00:00 AM,subway,316,50 St (1),Manhattan,metrocard,Metrocard - Fair Fare,9,0,40.76172637939453,-73.98384857177734,POINT (-73.98384857177734 40.76172637939453)
03/10/2023 12:00:00 AM,subway,316,50 St (1),Manhattan,metrocard,Metrocard - Full Fare,77,0,40.76172637939453,-73.98384857177734,POINT (-73.98384857177734 40.76172637939453)
03/10/2023 12:00:00 AM,subway,316,50 St (1),Manhattan,metrocard,Metrocard - Other,14,0,40.76172637939453,-73.98384857177734,POINT (-73.98384857177734 40.76172637939453)
03/10/2023 12:00:00 AM,subway,316,50 St (1),Manhattan,metrocard,Metrocard - Seniors & Disability,8,0,40.76172637939453,-73.98384857177734,POINT (-73.98384857177734 40.76172637939453)
03/10/2023 12:00:00 AM,subway,316,50 St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,32,0,40.76172637939453,-73.98384857177734,POINT (-73.98384857177734 40.76172637939453)
03/10/2023 12:00:00 AM,subway,316,50 St (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,47,0,40.76172637939453,-73.98384857177734,POINT (-73.98384857177734 40.76172637939453)
03/10/2023 12:00:00 AM,subway,316,50 St (1),Manhattan,omny,OMNY - Full Fare,110,0,40.76172637939453,-73.98384857177734,POINT (-73.98384857177734 40.76172637939453)
03/10/2023 12:00:00 AM,subway,318,"34 St-Penn Station (1,2,3)",Manhattan,metrocard,Metrocard - Other,23,0,40.75037384033203,-73.99105834960938,POINT (-73.99105834960938 40.75037384033203)
03/10/2023 12:00:00 AM,subway,318,"34 St-Penn Station (1,2,3)",Manhattan,metrocard,Metrocard - Full Fare,153,2,40.75037384033203,-73.99105834960938,POINT (-73.99105834960938 40.75037384033203)
03/10/2023 12:00:00 AM,subway,318,"34 St-Penn Station (1,2,3)",Manhattan,metrocard,Metrocard - Fair Fare,31,0,40.75037384033203,-73.99105834960938,POINT (-73.99105834960938 40.75037384033203)
03/10/2023 12:00:00 AM,subway,318,"34 St-Penn Station (1,2,3)",Manhattan,metrocard,Metrocard - Seniors & Disability,22,0,40.75037384033203,-73.99105834960938,POINT (-73.99105834960938 40.75037384033203)
